location,BUK,BUK Registrace,BUK guest,Buben 2.4G,O2-Internet_9D7,Simon,iPhone (Артём)
third_right_kitchen,unset,unset,-85.0,unset,unset,unset,unset
third_right_kitchen,-79.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-81.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,unset,-85.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,unset,-85.0,unset,unset,unset
third_right_kitchen,-64.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-62.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-41.0
